                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6842,                 10.823,                0.73214,                 8.6307,                 2.2955,                0.00935,                0.35714,                0.00639,                 0.0013,                      0,                      0,                      0,                      0,                 2.3106,                 10.858,                0.68059,                 9.1876,                 2.0992,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.1441,                 10.961,                0.72807,                 3.7781,                 1.8181,                0.67423,                0.21429,                0.34867,                0.12657,                      0,                      0,                      0,                      0,                 1.7453,                 10.851,                0.67518,                 3.1386,                 1.6044,             0.00013723,             0.00013723,             0.00013723
                      3,                 1.7769,                 10.666,                0.72141,                  1.955,                 1.4694,                0.62401,                0.57143,                0.57635,                0.16671,                      0,                      0,                      0,                      0,                 2.0253,                 10.994,                0.66405,                 3.3138,                 1.5322,             0.00021129,             0.00021129,             0.00021129
                      4,                  1.537,                 11.016,                0.64362,                 1.4538,                 1.2587,                 0.5659,                0.64286,                0.68895,                 0.4254,                      0,                      0,                      0,                      0,                 1.4678,                 10.967,                0.65536,                 4.9402,                 1.2966,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.4291,                 10.781,                0.61764,                  1.253,                 1.2157,                0.90488,                0.57143,                0.71923,                0.36124,                      0,                      0,                      0,                      0,                 1.6297,                 10.984,                0.65283,                 3.3533,                 1.4116,              0.0003499,              0.0003499,              0.0003499
                      6,                 1.5224,                 10.612,                0.63783,                 1.1972,                  1.254,                0.94632,                0.64286,                0.72888,                0.35839,                      0,                      0,                      0,                      0,                 1.5904,                 10.936,                0.64873,                 2.7329,                 1.3654,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.2295,                 10.673,                0.59735,                 1.0721,                 1.1431,                 0.8306,                0.70141,                0.73914,                0.40158,                      0,                      0,                      0,                      0,                 1.5346,                 10.828,                0.64324,                 2.0187,                 1.3419,             0.00047585,             0.00047585,             0.00047585
                      8,                 1.3774,                 10.537,                0.58932,                 1.0509,                 1.2053,                0.62138,                0.71429,                0.67727,                0.35676,                      0,                      0,                      0,                      0,                 1.6208,                 10.842,                0.63842,                 2.0541,                 1.3805,             0.00053407,             0.00053407,             0.00053407
                      9,                 1.2797,                 10.469,                0.57911,                 1.0937,                 1.1246,                0.80682,                0.64286,                0.61765,                 0.3901,                      0,                      0,                      0,                      0,                 1.6195,                  10.81,                0.63544,                 1.7672,                 1.3726,             0.00058912,             0.00058912,             0.00058912
                     10,                 1.2766,                 10.376,                 0.6019,                 1.1662,                 1.1217,                0.80025,                0.64286,                0.63635,                0.37463,                      0,                      0,                      0,                      0,                 1.6601,                 10.822,                0.62153,                 1.6864,                 1.3807,               0.000641,               0.000641,               0.000641
                     11,                 1.0908,                 10.344,                0.56761,                0.94859,                 1.0384,                0.79539,                0.64286,                0.71575,                0.35831,                      0,                      0,                      0,                      0,                  1.767,                 10.748,                0.60046,                 1.6614,                 1.5032,             0.00068972,             0.00068972,             0.00068972
                     12,                 1.1594,                 10.202,                0.54755,                0.96514,                 1.2303,                0.83547,                0.42857,                 0.5653,                 0.2628,                      0,                      0,                      0,                      0,                 1.8779,                  10.52,                0.57502,                 2.2052,                  1.459,             0.00073527,             0.00073527,             0.00073527
                     13,                 1.2147,                  10.06,                 0.5277,                 0.9059,                 1.0948,                0.81506,                0.64286,                0.79292,                0.41996,                      0,                      0,                      0,                      0,                 1.7512,                 10.461,                0.54312,                 2.0127,                 1.5318,             0.00077765,             0.00077765,             0.00077765
                     14,                 1.1813,                  10.17,                0.53436,                0.88302,                  1.127,                 0.7144,                0.85714,                0.82417,                0.48791,                      0,                      0,                      0,                      0,                  1.666,                 10.399,                0.52145,                 1.7009,                 1.5227,             0.00081686,             0.00081686,             0.00081686
                     15,                 1.1493,                 10.097,                0.51294,                 0.8603,                 1.0805,                0.82056,                0.85714,                0.83424,                0.50678,                      0,                      0,                      0,                      0,                 1.5668,                 10.306,                0.50836,                 1.5994,                 1.3538,              0.0008529,              0.0008529,              0.0008529
                     16,                 1.1588,                 9.9995,                0.52475,                0.85282,                 1.0761,                 0.9045,                0.85714,                0.87125,                0.51885,                      0,                      0,                      0,                      0,                 1.4665,                 10.143,                0.49902,                 1.4319,                  1.301,             0.00088578,             0.00088578,             0.00088578
                     17,                 1.0118,                 9.9304,                0.50416,                0.81059,                 1.0255,                0.95414,                0.78571,                0.87553,                0.49194,                      0,                      0,                      0,                      0,                 1.5824,                 10.189,                0.49734,                 1.2281,                  1.309,             0.00091549,             0.00091549,             0.00091549
                     18,                 1.2291,                 9.8235,                0.51727,                0.93518,                 1.0577,                0.98781,                0.64286,                0.80775,                0.45642,                      0,                      0,                      0,                      0,                 1.5973,                 10.087,                0.47624,                 1.3522,                 1.3352,             0.00094203,             0.00094203,             0.00094203
                     19,                 1.0819,                 9.9142,                0.50238,                0.85037,                 1.0681,                0.86568,                0.64286,                0.74126,                0.45613,                      0,                      0,                      0,                      0,                 1.4845,                 10.084,                0.46919,                 1.4129,                 1.3534,              0.0009654,              0.0009654,              0.0009654
                     20,                 1.2075,                  9.987,                0.49791,                0.90208,                 1.1155,                0.80178,                0.64286,                0.68983,                0.32724,                      0,                      0,                      0,                      0,                 1.6811,                 10.045,                0.46891,                 1.4772,                 1.4099,              0.0009856,              0.0009856,              0.0009856
                     21,                 1.0699,                 9.7798,                0.47886,                0.78688,                 1.0527,                0.97663,                0.64286,                0.73967,                0.49355,                      0,                      0,                      0,                      0,                 1.4717,                 9.8977,                0.44251,                 1.5262,                 1.3348,              0.0010026,              0.0010026,              0.0010026
                     22,                0.96491,                 9.7195,                0.45124,                0.76155,                 1.0375,                0.98211,                0.64286,                0.80085,                 0.5707,                      0,                      0,                      0,                      0,                 1.3941,                 9.8912,                0.42226,                 1.3551,                 1.2979,              0.0010165,              0.0010165,              0.0010165
                     23,                  1.001,                 9.7132,                0.46837,                0.76732,                0.98316,                0.99032,                0.64286,                0.81315,                0.51028,                      0,                      0,                      0,                      0,                 1.5594,                 9.9236,                0.41066,                 1.2942,                 1.3431,              0.0010272,              0.0010272,              0.0010272
                     24,                 1.0069,                 9.6887,                0.48014,                0.78146,                  1.014,                0.65646,                0.78571,                0.80928,                0.49418,                      0,                      0,                      0,                      0,                 1.4816,                  9.881,                0.39524,                 1.1789,                 1.3012,              0.0010347,              0.0010347,              0.0010347
